statement,translation
היא לא רוצה אם אתה,She doesn't want to if you
נכנס למערה שאין בה שום,Entering a cave that has no
מוצא אם אתה נופל פה,Find out if you fall here
מהגג בלילה אל תפחד תתעודד,From the roof at night Don't be afraid Cheer up
אנחנו פה איתך אם אתה,We are here with you if you
נותן את הנשמה מקבל סטירה,Gives the soul a slap
אם אתה בבוקר מתעורר לא,"If you wake up in the morning, no."
מבין למה אם אתה רואה,Understand why if you see
פה אדמה בוערת אל תפחד,Here is a burning ground Don't be afraid
תתעודד אנחנו פה איתך לא,Cheer up. We're here with you. No.
ניתן לזה לגעת בך לא,Let it touch you No
ניתן לזה לשבור את לבך,Let it break your heart.
לא ניתן לך ליפול לתהום,We won't let you fall into the abyss.
לבדך אם אתה באמצע המדבר,Alone If you're in the middle of the desert
פוגש בנסיכה אם היא מסתובב,Meets a princess if she turns around
אומרת היי אני לא רוצה,Say hi I don't want to
אם אתה פוגש פה זאבים,If you meet wolves here
בחושך אל תפחד תתעודד אנחנו,In the dark Don't be afraid Cheer up We
פה איתך לא ניתן לזה,Here with you We won't let it
לא נרדם לא נרדם בבקרים,Don't fall asleep Don't fall asleep in the morning
לא קם בזמן בימים עצבני,Not getting up on time on angry days
לא עומד בלוח הזמנים לא,Not on schedule No
נרדם לא נרדם איך מתמודדים,Sleeping not sleeping How to cope
עם העולם למה שום דבר,With the world Why nothing
פה לא מושלם לא דופק,Not perfect mouth doesn't knock
רק בדלים צפים על הקפה,Only buckets float on the coffee.
טעם מר בפה מי יכול,A bitter taste in the mouth Who can
להמליץ על איך בדיוק עושים,Recommend how exactly it is done
סדר בחיים לא זוכר מה,Order Never Remembers What
זה אור בלילות חוזר שיכור,It's light at night Comes back drunk
חשבונות מצטברים אין לי כסף,Accounts are accumulated I have no money
למונית מי יכול להשיב איך,For a taxi who can reply how
מתמודדים עם תל אביב למה,Dealing with Tel Aviv Why?
שום דבר פה השכנה אומרת,Nothing here next door says
הוא היה בחור יפה היא,He was a beautiful guy She
תמיד אומרת הוא היה כל,Always saying he was all
כך נחמד עכשיו הוא אף,So nice. Now he's though.
אחד מי יכול להמליץ על,One who can recommend
איך בדיוק עושים סדר בחיים,How to make order in life
לא נרדם כל לילה מחדש,I don't fall asleep every night.
איש קטן מה עובר בראש,Little man What goes through my mind
שלך מה זה שמזיז אותך,What is it that moves you?
מה אכלת לארוחת הבוקר מה,What did you eat for breakfast?
אוכל אותך מבפנים אולי יש,Eats you up inside. Maybe there is.
כאן טעות אופטית הדרך מטשטשת,This is where optical error blurs the way
אותי אבל זה לא משמעותי,Me but it doesn't mean anything
לגמרי לא משמעותי הדרך מטשטשת,Totally insignificant The way blurs
אותי אבל זה לא משמעותי,Me but it doesn't mean anything
לגמרי לא משמעותי איש קטן,Totally insignificant little man.
אולי אתה גדול ממני אולי,Maybe you're bigger than me. Maybe.
גדול מהחיים או שאתה מתפורר,Bigger than life or you're crumbling
לרסיסים יומיומיים הפירורים על השפם,Daily shards crumbs on the moustache
שלך זה שקצת מסתיר אותך,Yours is the one that hides you a little.
הדרך מטשטשת אותי האם אתה,The way blurs me Do you
סקרן רגשן ציניקן כמוני כלום,Curious sentimental cynic like me nothing
יש בינינו איזה שוני איזה,There is a difference between us.
שוני הדרך מטשטשת אותי הדרך,The difference of the way blurs me the way
מטשטשת אותי אבל זה לא,Blurring me but it's not
משמעותי לא משמעותי לא משמעותי,Significantly insignificant Not significant
לא לא לא,No no no.
כמו סופה בין צעיפי קטיפה,Like a storm between velvet scarves
עטופה בתוך גלימה שקופה אה,Wrapped in a translucent gown. Ah.
אה אה לילות בלבן את,Ah Ah Nights in White You
טרופה בין ענני הלהט עוד,Trapped among the clouds of passion More
מעט את גופך לדעת אה,A little bit of your body to know.
אה אה לילות אהבה את,Ah Ah Nights Love the
האש את גופי שורפת להבה,Fire my body burns a flame
את כולי עוטפת אה אה,You're all wrapped up. Uh-huh.
אה לילות אהבה,Oh Love Nights
היית צריך לראות אותי אז,You should have seen me then.
הייתי ילד פלא מלאך הטוב,I was a child prodigy The good angel
בידי אחז עטוף בתלתלי הפז,In the hands of Ahaz wrapped in the ringlets of Fez
אנשים עמדו אז בתור להשיג,People stood in line to get
כרטיסים בשוק השחור לשמוע אותי,Black Market Tickets Hear Me Out
מנגן בכינור כן ילד צריך,Playing the violin? Yes. A child should.
היית לראות אותי אז שכל,You'd see me then all
רואיי קינאו בי בכל מקום,Roy was jealous of me everywhere.
בו שמי הוכרז רצו אותי,Where my name was announced I was wanted
ללא מכרז כן היה לי,Without a tender Yes I had
יותר מחלקי בעוגה אמרו שכישוף,More than part of the cake said that sorcery
יש אצלי במגע תקוות לרפא,I have hopes of healing.
כל מיני דאגה תלו בי,All sorts of worries hung over me.
מה לעשות תגיד לי הגלגל,What to do? Tell me the wheel.
מסתובב העולם הוא במה בלורית,Spinning the World is a Ballorian Stage
הזהב גם היא נעלמה אני,"The gold is gone, too."
בן אדם תלוי על בלימה,A man hangs by a thread.
מתחתי התהום בליבי האימה מה,Underneath the abyss in my heart the horror of what
הלאה היית צריך לראות אותי,Next You should have seen me
אז כשמזלי שיחק לי איך,So when my luck played me how
כוכבי אורו גנז כמו חלום,Oro Ganz stars like a dream
נמוג גז אותם שחשבתי תמיד,Gas them that I always thought
לידידיי נעלמו כל אותם שאכלו,My friends are gone All those who have eaten
מידיי נעלם הכינור פקעו מיתריי,My hands are gone The violin has burst from my strings
ריק לי מה לעשות,Rick I have nothing to do
העיר שקטה עוד שתי תחנות,The city is quiet. Two more stations.
הכביש חלק כבר אין מה,Some roads are no longer
לראות אל מול הפחד אין,Seeing in the face of fear is not
סימן עצור תקוע כאן עם,A stop sign stuck here with
כל התקוות מבדיל בקושי בין,All hopes hardly distinguish between
כל השמות שחולפים כל רגע,All the names that pass by every moment.
זה אצלי בראש במי אני,It's in my head who I am.
נלחם זה משחק שנמכר אולי,Fighting is a game that is sold.
בסיכונים אולי במחר פוחד מהכאב,Risks Maybe Tomorrow Fearing the Pain
כמו תינוק לא מוגן אז,Like an unprotected baby then
תני לזה עוד זמן תני,Give it more time Give it more time
לי רק סימן למרות שלא,I only have a sign though not
אמרנו מילה היה מגע אחר,We said word was another touch
כך שתיקה אל מול השקט,Silence in the face of silence.
רק סימן קריאה לאן אקח,Just an exclamation point for where I'll take
את כל הדמעות לאן אברח,All the tears where shall I run
עם כל השמות שחולפים כל,With all the names that go by
רגע זה אצלי בראש במי,It's in my head who
אני נלחם,I'm fighting
בתחזית הודיעו שהאושר מתקרב ענני,"In the forecast, it was announced that happiness was approaching."
שמחה עוד יכסו את הרקיע,More joy will cover the sky.
עיניים נוצצות בוהות בחורף החולף,Shining eyes Staring at the passing winter
